,Barcode,Purity,Set
31,TCGA-A2-A0YM-01A-11D-A10A-05,0.7266,Train
32,TCGA-E9-A3QA-01A-61D-A22B-05,0.475,Train
33,TCGA-OL-A5D6-01A-21D-A27Y-05,0.6749,Train
34,TCGA-AQ-A04L-01B-21D-A10N-05,0.8262,Train
35,TCGA-AR-A2LN-01A-21D-A18O-05,0.6702,Train
36,TCGA-BH-A0GY-01A-11D-A10P-05,0.7539,Train
37,TCGA-BH-A1FU-01A-11D-A14H-05,0.6121,Train
38,TCGA-D8-A1X7-01A-11D-A14N-05,0.8307,Train
39,TCGA-B6-A0RE-01A-11D-A10P-05,0.7943,Train
40,TCGA-LL-A7SZ-01A-32D-A357-05,0.5109,Train
41,TCGA-AR-A2LH-01A-31D-A18O-05,0.4697,Train
42,TCGA-E2-A3DX-01A-21D-A212-05,0.5672,Train
43,TCGA-BH-AB28-01A-31D-A41Q-05,0.643,Train
44,TCGA-EW-A1OX-01A-11D-A145-05,0.9955,Train
45,TCGA-B6-A0RV-01A-11D-A10P-05,0.7694,Train
46,TCGA-E2-A1IE-01A-11D-A13K-05,0.8817,Train
47,TCGA-E2-A10E-01A-21D-A10N-05,0.9071,Train
48,TCGA-BH-A0B3-01A-11D-A10P-05,0.646,Train
49,TCGA-AR-A24Z-01A-11D-A16A-05,0.8886,Train
50,TCGA-EW-A1IZ-01A-11D-A13K-05,0.4635,Train
51,TCGA-BH-A1EV-01A-11D-A138-05,0.817,Train
52,TCGA-EW-A6SC-01A-12D-A32T-05,0.6285,Train
53,TCGA-AC-A3W5-01A-11D-A22B-05,0.6823,Train
54,TCGA-AC-A2QI-01A-12D-A19Z-05,0.7098,Train
55,TCGA-AR-A1AR-01A-31D-A138-05,0.6122,Train
56,TCGA-AR-A0TP-01A-11D-A10P-05,0.9681,Train
57,TCGA-BH-A42T-01A-11D-A244-05,0.7107,Train
58,TCGA-AC-A3OD-01A-11D-A21R-05,0.6141,Train
59,TCGA-D8-A27P-01A-11D-A16G-05,0.8136,Train
60,TCGA-AO-A0JA-01A-11D-A10P-05,0.79,Train
61,TCGA-PL-A8LZ-01A-31D-A36K-05,0.4779,Train
62,TCGA-A2-A0YK-01A-22D-A10A-05,0.5516,Train
63,TCGA-A2-A0YC-01A-11D-A10A-05,0.8188,Train
64,TCGA-D8-A27K-01A-11D-A16G-05,0.7268,Train
65,TCGA-A2-A0SX-01A-12D-A10P-05,0.6626,Train
66,TCGA-AR-A0U4-01A-11D-A10A-05,0.4542,Train
67,TCGA-E2-A1AZ-01A-11D-A12R-05,0.6433,Train
68,TCGA-E2-A15I-01A-21D-A138-05,0.7565,Train
69,TCGA-AR-A24T-01A-11D-A16A-05,0.746,Train
70,TCGA-E2-A56Z-01A-12D-A29O-05,0.8763,Val
71,TCGA-BH-A1EU-01A-11D-A138-05,0.4299,Val
72,TCGA-D8-A1XM-01A-21D-A14N-05,0.6665,Val
73,TCGA-E2-A1IG-01A-11D-A145-05,0.8399,Val
74,TCGA-AC-A8OQ-01A-11D-A41Q-05,0.5986,Val
75,TCGA-AC-A3TN-01A-11D-A22B-05,0.8632,Val
76,TCGA-OL-A6VO-01A-12D-A33F-05,0.7633,Val
77,TCGA-BH-A0HX-01A-21D-A10P-05,0.7759,Val
78,TCGA-A2-A3KD-01A-12D-A212-05,0.8248,Val
79,TCGA-AC-A6IW-01A-12D-A33F-05,0.5423,Val
80,TCGA-BH-A1F0-01A-11D-A138-05,0.358,Val
81,TCGA-A2-A25A-01A-12D-A16G-05,0.595,Val
82,TCGA-AC-A3YJ-01A-11D-A230-05,0.7918,Val
83,TCGA-AC-A3BB-01A-21D-A19Z-05,0.5299,Val
84,TCGA-BH-A0HF-01A-11D-A10P-05,0.7424,Val
85,TCGA-E9-A1RD-01A-11D-A161-05,0.7696,Test
86,TCGA-A2-A0CR-01A-11D-A22B-05,0.4889,Test
87,TCGA-B6-A1KF-01A-11D-A13K-05,0.9309,Test
88,TCGA-E9-A1N8-01A-11D-A145-05,0.9275,Test
89,TCGA-A7-A26I-01A-11D-A16A-05,0.7381,Test
90,TCGA-B6-A409-01A-11D-A244-05,0.7701,Test
91,TCGA-A7-A0D9-01A-31D-A10P-05,0.8921,Test
92,TCGA-LL-A5YL-01A-12D-A29O-05,0.7466,Test
93,TCGA-E2-A15K-06A-11D-A12R-05,0.8391,Test
94,TCGA-AN-A0XU-01A-11D-A10A-05,0.7875,Test
95,TCGA-C8-A1HF-01A-11D-A138-05,0.6122,Test
96,TCGA-A1-A0SF-01A-11D-A145-05,0.7237,Test
97,TCGA-A7-A26H-01A-11D-A16A-05,0.7811,Test
98,TCGA-A2-A0EP-01A-52D-A230-05,0.3512,Test
99,TCGA-B6-A0RO-01A-22D-A10P-05,0.8227,Test
